CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
16-01-0138-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO COBAN,KM.2 SALIDA A SAN JUAN CHAMELCO ZONA 8,77945104,MERCEDES JOSEFINA TORRES GALVEZ,JULIO CESAR VILLELA AMADO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0140-46,16-031,ALTA VERAPAZ,COBAN,"COLEGIO ""LA INMACULADA""",7A. AVENIDA 11-109 ZONA 6,78232301,MERCEDES JOSEFINA TORRES GALVEZ,MERCEDES QUIROS QUIROS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0143-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO IMPERIAL,5A. CALLE 1-9 ZONA 3,57101061,MERCEDES JOSEFINA TORRES GALVEZ,HECOTR WALDEMAR TOT COY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0145-46,16-006,ALTA VERAPAZ,COBAN,INSTITUTO DE TURSMO Y AVIACON DEL NORTE I.T.A.N,3 AV. 5-28 ZONA 4,54641454,EFRAIN CAAL CUC,LUIS FERNANDO SOTO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0147-46,16-031,ALTA VERAPAZ,COBAN,"COLEGIO ""LA INMACULADA""",7A. CALLE 11-09 ZONA 6 COBAN,49532425,MERCEDES JOSEFINA TORRES GALVEZ,MERCEDES QUIROS QUIROS,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0155-46,16-031,ALTA VERAPAZ,COBAN,"LICEO ""MODERNO LATINO""",11 AVENIDA 5-17 ZONA 4,79522555,MERCEDES JOSEFINA TORRES GALVEZ,JORGE BENEDICTO COC POP,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0428-46,16-005,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,"DIAGONAL 08 8-05 ZONA 8, BARRIO CANTAN LAS CASAS",79945251,WHOLFANG ALEXANDER PONCE SIERRA,HEIDY MARYBEL PEREZ DEL VALE,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0471-46,16-031,ALTA VERAPAZ,COBAN,"COLEGIO DE INFORMATICA ""CENINFAV""",12 AV. 2-12 ZONA 1,79545566,MERCEDES JOSEFINA TORRES GALVEZ,MARIA MAGDALENA BOL CU,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0478-46,16-031,ALTA VERAPAZ,COBAN,"COLEGIO EVANGELICO ""LA PATRIA""",FINCA CHIMAXITO ZONA 11,79514440,MERCEDES JOSEFINA TORRES GALVEZ,ELIGIO PASTOR GARCAA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0481-46,16-031,ALTA VERAPAZ,COBAN,LICEO AMERICANO DEL NORTE,5TA. CALLE 2-23 ZONA 4,79514754,MERCEDES JOSEFINA TORRES GALVEZ,JOSE CUPERTINO REYES GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0483-46,16-031,ALTA VERAPAZ,COBAN,LICEO AMERICANO DEL NORTE,5TA. CALLE 2-23 ZONA 4,79514754,MERCEDES JOSEFINA TORRES GALVEZ,JOSE CUPERTINO REYES GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0557-46,16-031,ALTA VERAPAZ,COBAN,"COLEGIO ""LA LIBERTAD""",3RA. AVENIDA 5-12 ZONA 4,79523696,MERCEDES JOSEFINA TORRES GALVEZ,ERICK FERNANDO CHOC GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0563-46,16-031,ALTA VERAPAZ,COBAN,CENTRO DE FORMACION INTEGRAL LAS CONCHAS FMG,ALDEA LAS CONCHAS,79522793,MERCEDES JOSEFINA TORRES GALVEZ,CARLOS OXOM,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0565-46,16-031,ALTA VERAPAZ,COBAN,"INSTITUTO MIXTO PRIVADO ""SALUD Y DESARROLLO""",DIAGNONAL 1 1-26 ZONA 1,44042550,MERCEDES JOSEFINA TORRES GALVEZ,GRISELDA PATRICIA LAPEZ HERRERA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0568-46,16-031,ALTA VERAPAZ,COBAN,INSTITUTO PRIVADO RAUL CHENAL HEINEMANN,5A. CALLE 1-06 ZONA 3,79510413,MERCEDES JOSEFINA TORRES GALVEZ,ASTRID YADIRA MARROQUIN MOLINA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ALTA VERAPAZ
